from_id,to_id,mode,day_type,start_time,end_time,mean_minutes
04107,04108,bus:brt,habitual,0:00:00,23:59:59,1.52
04108,04106,bus:brt,habitual,0:00:00,23:59:59,2.56
04108,04107,bus:brt,habitual,0:00:00,23:59:59,1.52
05000,03004,bus:brt,habitual,0:00:00,23:59:59,30.82
05001,03004,bus:brt,habitual,0:00:00,23:59:59,28.91
05001,05002,bus:brt,habitual,0:00:00,23:59:59,1.57
05002,05001,bus:brt,habitual,0:00:00,23:59:59,1.57
05002,05005,bus:brt,habitual,0:00:00,23:59:59,1.81
05005,05002,bus:brt,habitual,0:00:00,23:59:59,1.81
05005,05100,bus:brt,habitual,0:00:00,23:59:59,1.54
05100,05005,bus:brt,habitual,0:00:00,23:59:59,1.54
05100,05101,bus:brt,habitual,0:00:00,23:59:59,1.0
05101,05100,bus:brt,habitual,0:00:00,23:59:59,1.0
05101,05102,bus:brt,habitual,0:00:00,23:59:59,1.58
05102,05101,bus:brt,habitual,0:00:00,23:59:59,1.58
05102,05103,bus:brt,habitual,0:00:00,23:59:59,0.91
05103,05102,bus:brt,habitual,0:00:00,23:59:59,0.91
05103,05105,bus:brt,habitual,0:00:00,23:59:59,2.56
05105,05103,bus:brt,habitual,0:00:00,23:59:59,2.56
05105,05107,bus:brt,habitual,0:00:00,23:59:59,1.58
05107,05105,bus:brt,habitual,0:00:00,23:59:59,1.58
05107,12000,bus:brt,habitual,0:00:00,23:59:59,1.62
06001,07001,bus:brt,habitual,0:00:00,23:59:59,20.57
06001,07003,bus:brt,habitual,0:00:00,23:59:59,19.01
06109,06111,a_pie,habitual,0:00:00,23:59:59,26.93
06109,14005,a_pie,habitual,0:00:00,23:59:59,28.95
06111,06109,a_pie,habitual,0:00:00,23:59:59,26.93
07000,07001,bus:brt,habitual,0:00:00,23:59:59,1.02
07001,06001,bus:brt,habitual,0:00:00,23:59:59,20.57
07001,07000,bus:brt,habitual,0:00:00,23:59:59,1.02
07003,06001,bus:brt,habitual,0:00:00,23:59:59,19.01
07003,07004,bus:brt,habitual,0:00:00,23:59:59,1.06
07004,07003,bus:brt,habitual,0:00:00,23:59:59,1.06
07004,07005,bus:brt,habitual,0:00:00,23:59:59,1.88
07005,07004,bus:brt,habitual,0:00:00,23:59:59,1.88
07005,07006,bus:brt,habitual,0:00:00,23:59:59,1.06
07006,07005,bus:brt,habitual,0:00:00,23:59:59,1.06
07006,07007,bus:brt,habitual,0:00:00,23:59:59,1.29
07007,07006,bus:brt,habitual,0:00:00,23:59:59,1.29
07007,07008,a_pie,habitual,0:00:00,23:59:59,8.81
07007,07008,bus:brt,habitual,0:00:00,23:59:59,1.32
07008,07007,a_pie,habitual,0:00:00,23:59:59,8.81
07008,07007,bus:brt,habitual,0:00:00,23:59:59,1.32
07008,07009,bus:brt,habitual,0:00:00,23:59:59,1.7
07009,07008,bus:brt,habitual,0:00:00,23:59:59,1.7
07009,07113,bus:brt,habitual,0:00:00,23:59:59,2.02
07101,07102,bus:brt,habitual,0:00:00,23:59:59,1.95
07102,07101,bus:brt,habitual,0:00:00,23:59:59,1.95
07102,07103,bus:brt,habitual,0:00:00,23:59:59,1.11
07103,07102,bus:brt,habitual,0:00:00,23:59:59,1.11
07103,07104,bus:brt,habitual,0:00:00,23:59:59,2.13
07104,07103,bus:brt,habitual,0:00:00,23:59:59,2.13
07104,07105,bus:brt,habitual,0:00:00,23:59:59,1.62
07105,07104,bus:brt,habitual,0:00:00,23:59:59,1.62
07105,07106,bus:brt,habitual,0:00:00,23:59:59,1.04
07106,07105,bus:brt,habitual,0:00:00,23:59:59,1.04
07106,07107,bus:brt,habitual,0:00:00,23:59:59,1.85
07107,07106,bus:brt,habitual,0:00:00,23:59:59,1.85
07107,07108,bus:brt,habitual,0:00:00,23:59:59,1.44
07108,07107,bus:brt,habitual,0:00:00,23:59:59,1.44
07108,07109,bus:brt,habitual,0:00:00,23:59:59,1.87
07109,07108,bus:brt,habitual,0:00:00,23:59:59,1.87
07109,07110,bus:brt,habitual,0:00:00,23:59:59,1.87
07110,07109,bus:brt,habitual,0:00:00,23:59:59,1.87
07110,07111,bus:brt,habitual,0:00:00,23:59:59,1.51
07111,07110,bus:brt,habitual,0:00:00,23:59:59,1.51
07111,07201,bus:brt,habitual,0:00:00,23:59:59,1.68
07111,12003,a_pie,habitual,0:00:00,23:59:59,5.37
07112,07113,bus:brt,habitual,0:00:00,23:59:59,0.84
07113,07009,bus:brt,habitual,0:00:00,23:59:59,2.02
07113,07112,bus:brt,habitual,0:00:00,23:59:59,0.84
07200,07201,bus:brt,habitual,0:00:00,23:59:59,1.68
07201,07111,bus:brt,habitual,0:00:00,23:59:59,1.68
07201,07200,bus:brt,habitual,0:00:00,23:59:59,1.68
09000,09005,bus:brt,habitual,0:00:00,23:59:59,2.67
09001,09002,bus:brt,habitual,0:00:00,23:59:59,0.84
09001,09005,bus:brt,habitual,0:00:00,23:59:59,2.99
09002,09001,bus:brt,habitual,0:00:00,23:59:59,0.84
09002,09003,bus:brt,habitual,0:00:00,23:59:59,1.06
09003,09002,bus:brt,habitual,0:00:00,23:59:59,1.06
09003,09004,bus:brt,habitual,0:00:00,23:59:59,1.41
09004,09003,bus:brt,habitual,0:00:00,23:59:59,1.41
09004,09100,bus:brt,habitual,0:00:00,23:59:59,1.49
09100,09004,bus:brt,habitual,0:00:00,23:59:59,1.49
09100,09101,bus:brt,habitual,0:00:00,23:59:59,1.28
09101,09100,bus:brt,habitual,0:00:00,23:59:59,1.28
09101,09103,bus:brt,habitual,0:00:00,23:59:59,1.62
09103,09101,bus:brt,habitual,0:00:00,23:59:59,1.62
09103,09104,bus:brt,habitual,0:00:00,23:59:59,1.47
09104,09103,bus:brt,habitual,0:00:00,23:59:59,1.47
09104,09105,bus:brt,habitual,0:00:00,23:59:59,0.51
09105,09104,bus:brt,habitual,0:00:00,23:59:59,0.51
09105,09106,bus:brt,habitual,0:00:00,23:59:59,1.42
09106,09105,bus:brt,habitual,0:00:00,23:59:59,1.42
09106,09107,bus:brt,habitual,0:00:00,23:59:59,1.3
09107,09106,bus:brt,habitual,0:00:00,23:59:59,1.3
09107,09108,bus:brt,habitual,0:00:00,23:59:59,1.29
09108,09107,bus:brt,habitual,0:00:00,23:59:59,1.29
09108,09109,bus:brt,habitual,0:00:00,23:59:59,0.87
09109,09108,bus:brt,habitual,0:00:00,23:59:59,0.87
